"rearn","tearn","ssi","welfare","charity","sex","race","immig","educ_r","r_age","workmos","workhrs"
20000,17500,0,0,0,1,3,0,1,56,12,66
60000,70000,0,0,0,2,3,0,4,31,12,35
-5,0,0,0,0,2,4,0,4,30,12,50
660,0,0,1,0,2,3,0,2,26,3,50
56000,76000,0,0,0,2,1,0,4,40,12,45
0,0,1,0,0,2,3,1,2,60,0,0
0,-5,0,0,0,2,1,NA,4,63,12,40
0,-5,0,0,0,1,1,0,1,19,11,42.2999992370605
70000,6500,0,0,0,1,1,0,3,54,10,55
0,0,0,0,0,2,2,0,3,74,0,0
10000,50000,0,0,0,1,1,0,4,30,12,40
0,0,0,0,0,1,NA,0,4,87,0,0
-5,0,0,0,0,2,1,0,4,41.3242301940918,12,20
20000,20000,0,0,0,2,1,0,4,29,12,60
150000,-5,0,0,0,2,1,0,4,49,12,50
40000,0,0,0,0,2,3,0,4,30,12,45
0,-5,0,0,0,2,2,0,2,58,11,42.2999992370605
6000,0,0,0,0,1,1,0,4,27,4,20
-5,0,0,0,0,2,NA,0,4,41,5,3
40000,0,0,0,0,1,2,1,3,32,12,40
0,0,0,0,0,2,2,1,3,36,0,0
-5,-9,0,0,0,1,3,1,3,39,11,40
5600,0,0,0,0,2,1,0,4,43,12,30
20000,40000,0,0,1,2,3,0,4,43,12,55
20000,0,0,0,0,1,3,0,3,24,9,30
33000,65000,0,0,0,2,1,1,4,55,12,40
50000,50000,0,0,0,2,3,0,3,40,12,40
0,60000,0,0,0,1,2,0,4,53,12,60
0,0,0,0,0,1,3,0,1,63,0,0
0,35000,0,0,0,1,1,0,4,53,12,35
0,0,0,0,0,2,4,1,4,44,0,0
0,0,0,0,0,2,1,0,3,82,0,0
30000,0,0,0,0,2,2,1,3,37,12,40
0,0,0,0,0,2,1,1,4,77,0,0
-5,0,0,0,0,1,3,0,2,24,8,40
0,0,0,0,0,2,2,1,2,80,0,0
0,50000,0,0,0,2,1,1,3,42,12,50
40000,0,0,0,0,1,2,1,2,22,12,40
0,0,0,0,0,1,1,1,4,27,0,0
70000,0,0,0,0,1,2,1,4,50,10,54
8600,1800,0,0,1,1,2,1,4,32,12,60
0,15000,0,0,0,1,2,0,2,27,12,25
50000,30000,0,0,0,2,3,0,4,50,10,35
14000,0,0,0,0,2,3,0,4,27,11,40
87000,0,0,0,0,1,4,1,4,34,12,40
-5,0,0,0,0,1,3,0,3,31,9,42.2999992370605
65000,70000,0,0,0,2,1,0,2,37,12,40
22000,-5,0,0,0,2,3,NA,2,40,12,60
3000,0,0,0,0,1,1,0,3,42,1,6
0,0,0,0,0,1,3,1,1,24,0,0
0,0,0,0,0,2,1,1,4,50,0,0
0,0,0,0,0,1,2,1,2,69,0,0
4000,38000,0,0,0,1,3,1,4,46,12,35
28000,0,0,0,0,2,NA,0,4,31,12,50
-5,0,0,0,0,2,3,1,2,20,9,40
0,0,0,0,0,1,1,1,4,26,0,0
0,0,0,0,0,2,3,1,2,75,0,0
32000,0,0,0,0,1,1,0,3,42,12,50
0,7500,0,0,0,2,1,1,1,42,11,40
45000,0,0,0,0,1,1,0,4,48,12,40
31000,0,0,0,0,1,2,0,2,23,12,40
-5,0,0,0,0,2,NA,NA,3,41.3242301940918,12,40
1920,0,0,1,0,2,NA,0,3,34,12,72
-5,-5,0,0,0,1,2,0,4,60,12,42.2999992370605
-5,0,0,0,0,2,3,1,2,40,12,40
50000,0,0,0,0,1,2,0,4,27,10,45
-5,0,0,0,0,2,3,0,3,46,12,35
0,0,0,0,0,1,1,0,4,64,0,0
0,17500,0,0,0,1,1,0,2,63,12,35
0,0,0,0,0,1,1,NA,NA,54,0,0
18000,0,0,0,0,1,NA,0,4,30,12,70
22500,-5,0,0,0,1,3,1,2,26,3,35
0,0,0,0,0,2,1,0,3,83,0,0
38000,0,0,0,0,1,3,1,3,19,12,50
56000,0,0,0,0,1,3,0,4,25,12,45
20000,0,0,0,0,2,2,1,4,26,6,20
35000,0,0,0,0,2,3,1,4,37,12,40
47500,0,0,0,0,1,3,0,2,28,12,45
0,0,0,0,0,2,2,1,2,56,0,0
-5,0,0,0,0,2,3,0,4,41,12,42.2999992370605
0,0,0,0,0,1,3,0,4,62,0,0
0,0,0,0,0,2,2,0,2,77,0,0
11000,-5,0,0,0,2,2,1,1,27,12,50
58000,84000,0,0,0,2,3,0,3,30,12,40
0,0,1,0,0,2,2,1,2,55,0,0
2300,0,0,0,0,1,4,1,3,18,4,20
0,60000,0,0,0,1,2,1,3,59,12,40
12000,0,0,1,0,2,2,1,3,49,12,40
45000,0,0,0,0,1,1,0,3,31,12,40
-5,0,0,0,0,1,3,0,4,65,12,50
0,0,0,0,0,2,2,1,2,23,0,0
40000,0,0,0,0,2,3,0,4,27,12,35
14000,0,0,0,0,1,3,0,2,29,8,60
26400,27000,0,0,0,1,2,1,3,30,12,40
10000,10000,0,0,0,1,4,1,4,45,10,40
76000,0,0,0,0,2,3,0,4,63,12,37
0,0,0,0,0,2,1,0,2,67,0,0
0,-5,0,0,0,2,1,0,2,23,12,40
6960,0,0,0,0,2,3,1,1,49,12,12
130000,30000,0,0,0,1,1,0,4,34,12,40
0,-5,0,0,0,2,1,1,2,55,12,40
0,0,0,0,0,1,4,1,1,21,0,0
0,0,0,0,0,1,1,0,3,76,0,0
18900,0,1,0,0,2,1,0,2,49,12,35
26000,0,0,0,0,2,1,0,4,24,12,40
-5,-5,0,0,0,1,1,0,4,54,12,35
10500,10500,0,0,0,1,1,1,4,43,12,24
45000,0,0,0,0,1,2,0,2,64,12,37
20000,0,0,0,0,2,1,0,4,22,12,40
34000,0,0,0,0,2,1,0,4,29,12,30
140000,0,0,0,0,2,2,0,3,37,12,20
4300,0,0,0,0,2,1,0,4,31,12,40
15000,-5,0,0,0,2,1,0,4,30,4,35
90000,0,0,0,0,2,1,0,3,57,12,40
120000,100000,0,0,0,2,1,0,4,24,12,90
30000,60000,0,0,0,2,3,1,4,41,12,40
0,0,0,0,0,2,3,0,2,48,0,0
120000,0,0,0,0,2,3,0,4,63,10,15
-5,46000,0,0,0,2,1,0,4,41,11,50
20712,0,1,0,1,2,2,0,3,30,12,40
0,0,1,0,0,2,2,0,1,58,0,0
-5,0,0,0,0,1,1,0,4,44,12,42.2999992370605
32000,380000,0,0,0,2,2,1,3,31,12,40
9000,0,0,0,0,2,2,0,4,23,6,35
36000,0,0,0,0,2,2,0,3,31,12,40
0,0,0,0,0,1,1,1,4,24,0,0
0,-5,0,0,0,2,3,1,1,31,12,40
-5,0,0,0,0,2,3,0,3,21,12,30
0,0,0,0,0,2,1,0,2,76,0,0
41000,42000,0,0,0,2,2,0,2,44,11,36
20000,0,0,0,0,1,3,1,2,27,6,40
31000,32000,0,0,0,1,3,1,3,28,12,38
0,0,0,0,0,1,1,0,2,75,0,0
5000,0,0,0,0,2,3,0,3,23,9,22
23300,0,0,0,0,2,2,1,1,48,12,54
1560,-5,0,0,0,2,3,1,2,23,3,40
0,0,0,0,0,2,2,0,2,60,0,0
0,-5,0,0,0,1,3,1,1,42,12,40
54000,30000,0,0,0,1,2,0,4,59,12,40
0,0,0,0,0,1,1,0,1,89,0,0
-5,-5,0,0,0,2,2,0,2,39,12,65
0,0,0,0,0,2,3,0,1,61,0,0
19200,60000,0,0,0,1,3,0,2,36,12,80
60000,0,0,0,0,2,3,1,4,35,12,40
0,0,0,0,0,2,2,0,1,18,0,0
30000,0,0,0,0,1,1,0,4,32,12,40
40000,30000,0,0,0,2,1,0,1,37,12,20
65000,35000,0,0,0,1,1,0,4,46,12,35
0,0,0,0,0,1,1,0,4,71,0,0
26200,0,0,0,0,1,3,1,1,48,12,30
0,11000,0,0,0,2,3,1,1,20,12,63
-5,0,0,0,0,1,1,0,3,37,12,55
17500,0,0,0,0,2,3,0,1,62,12,25
26500,0,0,0,0,2,2,1,4,26,12,35
0,0,0,0,0,2,4,0,3,78,0,0
-5,-5,0,0,0,1,1,0,3,54,12,50
-5,0,0,0,0,2,3,0,1,19,11,42.2999992370605
20000,0,0,0,0,2,4,0,3,32,12,30
20000,0,0,0,0,1,1,0,3,73,8,40
14000,0,0,0,0,1,2,1,4,40,12,40
100000,50000,0,0,0,1,2,0,4,39,12,70
22000,0,0,0,0,2,2,1,4,46,12,40
0,0,1,0,0,2,4,0,2,54,0,0
1000,100000,0,0,0,2,1,0,4,60,6,40
0,0,0,0,0,2,3,1,3,22,0,0
200000,125000,0,0,0,1,1,0,4,57,12,50
75000,45000,0,0,0,2,4,1,4,37,9,35
0,0,0,0,0,2,4,1,4,21,0,0
20000,35000,0,0,0,1,2,0,2,32,12,40
80000,30000,0,0,0,1,1,1,4,49,12,40
40000,60000,0,0,0,1,1,0,3,37,12,55
50000,35000,0,0,0,1,1,0,4,35,12,40
0,14000,0,0,0,1,3,1,1,49,10,40
-5,-5,0,0,0,1,1,0,4,39,12,45
27500,0,0,0,0,1,2,1,2,36,12,45
12000,0,0,0,0,2,3,1,3,25,12,25
0,-5,0,0,0,2,1,0,4,40,12,40
20800,0,0,0,0,2,2,0,2,42,6,40
55000,0,0,0,0,2,1,0,4,50,12,40
5000,0,0,0,0,2,3,0,2,18,6,25
48000,0,0,0,0,1,3,1,4,38,12,40
0,0,0,0,0,2,3,1,2,38,0,0
90000,8000,0,0,0,1,1,0,4,45,12,50
23000,0,0,0,0,2,3,0,3,39,12,35
14000,0,0,0,0,1,3,1,2,21,10,40
40000,0,0,0,0,1,3,1,2,50,10,40
2000,0,0,1,0,2,1,0,2,57,2,30
0,-5,0,0,0,2,3,1,1,27,12,45
6000,-5,0,0,0,1,2,1,2,34,7,20
17000,15000,0,0,0,2,3,0,3,21,12,45
28000,40000,0,0,0,1,2,0,2,34,12,38
0,0,0,0,0,1,NA,NA,2,23,0,0
6000,0,0,0,0,1,2,1,1,52,6,40
85000,0,0,0,0,1,1,0,3,53,12,80
45000,0,0,0,0,1,3,1,2,30,12,40
0,-5,0,0,0,2,3,0,2,28,12,42.2999992370605
15000,150000,0,0,0,2,1,0,4,52,12,50
60000,60000,0,0,0,2,4,1,4,28,12,40
2500,0,0,0,0,2,3,0,2,55,12,80
0,10896,0,0,0,1,2,1,3,37,12,37
0,0,1,0,0,1,2,0,3,54,0,0
30000,0,0,0,0,2,3,0,3,30,12,40
28000,20000,0,0,0,2,1,0,4,32,10,20
0,0,0,0,0,2,1,0,4,50,0,0
140000,3500,0,0,0,1,1,0,4,45,12,50
5000,0,0,0,0,2,4,0,4,22,3,35
0,0,0,0,0,1,3,1,3,21,0,0
50000,0,0,0,0,2,2,0,3,43,12,40
70000,65000,0,0,0,2,1,1,4,55,9,35
-5,0,0,0,0,2,1,0,3,59,12,30
-5,0,0,0,0,1,3,0,3,65,11,35
0,-5,0,0,0,2,1,0,4,32,12,50
0,0,0,0,0,2,3,0,1,62,0,0
75000,0,0,0,0,1,1,0,4,58,12,60
-5,0,0,0,0,1,1,0,3,55,12,55
30000,0,0,0,0,1,1,0,4,38,5,40
0,0,0,0,0,2,3,0,3,41,0,0
-5,-5,0,0,0,2,1,1,2,41.3242301940918,12,35
33000,0,0,0,0,2,NA,0,3,50,12,37
0,0,1,0,0,2,3,1,1,77,0,0
3000,15000,0,0,1,2,2,0,3,28,12,42
30000,95000,0,0,0,1,3,0,4,29,12,40
0,-5,0,0,0,2,3,1,1,34,12,50
6000,0,0,0,0,2,3,0,2,24,9,8
100000,0,0,0,0,2,1,0,3,50,12,60
33000,0,0,0,0,2,3,0,3,21,12,40
130000,90000,0,0,0,1,1,0,2,52,12,45
3000,90000,0,0,0,2,3,0,4,27,12,60
0,0,0,0,0,1,1,0,1,88,0,0
0,0,0,0,0,2,2,0,3,65,0,0
0,0,0,0,0,2,1,0,2,75,0,0
0,0,0,0,0,2,2,NA,NA,41.3242301940918,0,0
28000,38000,0,0,0,2,2,1,2,31,12,36
0,0,0,0,0,2,1,1,1,85,0,0
14000,0,0,0,0,1,3,0,1,41,7,40
-5,0,0,0,0,2,1,0,4,54,12,45
22000,5000,0,0,0,2,3,1,2,46,12,50
0,6400,0,0,0,2,2,1,2,21,11,42.2999992370605
43200,0,0,0,0,1,3,1,3,37,9,35
-5,-5,0,0,0,2,1,0,4,31,12,50
100000,0,0,0,0,2,3,0,2,31,12,40
13200,1000,0,0,0,2,2,1,3,26,11,8
4500,-5,0,0,0,2,3,0,1,32,9,40
30000,17500,0,0,0,2,2,1,2,43,12,50
5000,0,0,0,0,2,2,0,2,20,5,24
5000,100000,0,0,0,2,1,0,4,47,12,50
-5,0,0,0,0,2,1,0,4,48,12,50
120000,90000,0,0,0,1,1,0,4,51,12,50
5000,0,0,0,0,2,3,0,2,18,12,40
-5,-5,0,0,0,2,NA,0,4,41.3242301940918,12,80
14832,0,0,0,0,2,2,0,1,57,12,60
0,-5,1,0,0,2,3,1,1,45,12,40
32000,0,0,0,0,2,1,0,4,24,12,45
24000,0,0,0,0,2,2,0,3,36,12,35
0,0,0,0,0,2,1,0,4,39,0,0
29000,0,0,0,0,1,3,1,2,31,12,46
25000,0,0,0,0,1,1,0,4,53,12,40
-5,0,0,0,0,2,1,NA,4,60,11,21
-5,0,0,0,0,1,3,1,2,30,1,40
38400,15600,0,0,0,2,3,0,2,18,12,80
12000,0,0,0,0,2,2,0,2,19,3,30
29000,-9,0,0,0,1,2,1,1,62,12,40
0,0,0,0,0,1,1,0,4,70,0,0
0,0,0,0,0,1,1,0,2,72,0,0
0,0,0,0,0,2,1,0,2,88,0,0
0,0,0,0,0,2,1,0,2,72,0,0
6720,0,0,0,0,1,2,0,1,20,8,35
30000,0,0,0,0,2,3,1,3,24,12,35
11000,0,0,0,0,2,3,1,3,21,12,40
30000,0,0,0,0,2,2,0,3,41,12,46
0,0,1,0,0,2,3,0,1,60,0,0
-5,-5,0,0,0,1,1,1,4,50,12,40
8000,0,0,1,0,1,2,1,2,35,8,40
-5,0,0,0,0,1,3,1,1,32,12,40
-9,-5,0,0,0,2,1,NA,2,41.3242301940918,11,40
0,0,0,0,0,2,2,1,2,54,0,0
0,0,0,0,0,1,1,0,1,80,0,0
60000,50000,0,0,0,1,2,0,3,32,12,40
30000,0,0,0,0,1,2,0,4,40,12,60
-5,-5,0,0,0,2,1,0,4,38,12,40
0,0,0,0,0,1,1,1,1,65,0,0
0,0,0,0,0,1,1,0,2,57,0,0
27000,0,0,0,0,1,1,0,4,23,12,40
10000,-5,0,0,0,1,1,NA,4,55,12,50
72000,36000,0,0,0,2,3,0,1,25,12,10
8000,0,0,0,0,1,4,0,3,19,11,25
0,0,0,0,0,2,1,0,4,40,0,0
8000,12000,0,0,0,2,3,1,1,26,12,40
-5,0,0,0,0,1,4,1,4,31,12,5
16000,0,0,0,0,2,1,0,3,29,12,60
25000,5000,1,1,0,1,2,1,3,25,12,8
0,0,0,0,0,2,3,0,3,18,0,0
-5,0,0,0,0,1,1,0,2,41,12,50
0,-5,0,0,0,2,1,0,2,57,12,42.2999992370605
0,0,0,0,0,1,1,0,4,89,0,0
60000,0,0,0,0,2,3,0,3,31,12,40
9000,0,0,0,0,1,3,1,1,20,12,25
48000,48000,0,0,0,1,1,0,4,32,12,50
46000,0,0,0,0,2,2,0,2,40,12,40
37000,54000,0,0,0,2,1,0,4,27,12,40
-5,0,0,0,0,1,2,1,4,68,10,30
50000,-5,0,0,0,1,1,1,4,54,12,50
100000,-5,0,0,0,2,3,1,4,38,12,35
35000,0,0,0,0,2,2,0,3,27,10,35
0,0,0,0,0,1,2,1,1,30,0,0
0,-5,0,0,0,2,4,1,4,36,12,48
15000,0,0,0,0,2,2,0,2,52,12,50
0,0,0,0,0,2,2,0,3,52,0,0
-5,-5,0,0,0,2,3,1,2,27,7,40
28000,0,0,0,0,2,3,0,4,40,12,35
0,0,0,0,0,1,3,0,1,67,0,0
17500,0,0,0,0,1,3,0,2,45,12,40
12000,40000,0,0,0,2,1,1,4,52,12,40
40000,70000,0,0,0,2,1,0,4,41,12,50
17000,0,0,0,0,1,2,1,3,54,8,40
100000,0,0,0,0,1,1,0,4,36,12,50
10400,0,0,0,0,2,3,1,2,23,12,48
8250,0,0,0,0,2,2,0,2,25,10,10
35000,39000,0,0,0,1,3,0,3,30,12,40
-5,0,0,0,0,1,1,0,3,24,12,35
62000,0,0,0,0,2,3,1,3,48,11,37
-5,-5,0,0,0,2,3,0,2,49,12,40
75000,0,0,0,0,1,1,0,4,65,12,30
40000,80000,0,0,0,1,1,0,4,33,12,40
0,0,0,0,0,2,3,1,2,18,0,0
125000,38000,0,0,0,1,1,0,2,30,12,70
0,9600,0,0,0,2,3,1,1,26,12,66
13000,0,0,0,0,2,2,1,2,36,12,10
84000,0,0,0,0,1,1,0,4,28,12,50
5000,0,0,0,0,1,3,1,2,60,11,20
22500,0,0,0,0,2,2,1,1,64,12,60
0,0,0,0,0,2,2,1,1,75,0,0
4000,-9,0,0,0,2,2,1,2,30,5,0
0,0,0,0,0,2,2,0,3,64,0,0
220,12000,0,1,0,2,3,0,3,24,10,8
0,0,1,0,0,2,3,0,2,71,0,0
130000,0,0,0,0,1,1,0,4,28,12,65
30000,0,0,0,0,1,1,0,4,52,12,40
35000,35000,0,0,0,1,2,0,3,42,12,35
6000,0,0,0,0,1,3,0,2,20,10,20
750000,2500000,0,0,0,2,2,0,4,43,12,70
0,100000,0,0,0,2,1,0,4,45,12,80
60000,55000,0,0,0,2,1,0,4,35,12,60
20000,0,0,0,0,1,3,1,4,34,12,20
32000,0,0,0,0,2,1,0,4,22,10,40
4000,0,0,0,0,1,4,1,2,19,5,24
65000,0,0,0,0,2,3,1,4,50,12,35
43000,0,0,0,0,1,1,0,2,34,12,40
90000,0,0,0,0,1,1,0,4,35,12,35
22000,0,0,0,0,2,2,0,3,26,12,40
0,0,1,0,0,2,3,0,2,43,0,0
75000,0,0,0,0,1,NA,0,3,48,12,40
-5,50000,0,0,0,1,1,0,4,31,12,20
62000,49000,0,0,0,1,2,1,3,51,12,35
130000,50000,0,0,0,1,1,0,3,37,12,60
-5,0,0,0,0,2,3,1,2,51,10,40
33000,40000,0,0,0,2,2,NA,1,38,12,60
0,0,0,0,0,1,2,0,4,70,0,0
0,0,0,0,0,2,1,1,1,60,0,0
0,0,0,0,0,2,1,1,4,79,0,0
35000,20000,0,0,0,1,4,1,3,50,12,40
0,480000,0,0,0,1,4,1,3,33,12,40
12000,20000,0,0,0,2,2,1,2,40,12,42.2999992370605
20000,45000,0,0,0,1,1,0,4,21,12,55
0,0,0,0,0,1,1,0,2,36,0,0
-5,-5,0,0,0,2,NA,1,4,41,12,30
20000,0,0,0,0,2,3,0,4,30,12,35
30000,30000,0,0,0,2,2,1,4,35,12,40
-5,0,0,0,0,2,1,0,4,53,12,50
-5,-5,0,0,0,2,2,0,4,32,12,40
27000,0,0,0,0,2,2,1,4,49,12,40
10000,0,0,0,1,2,2,1,2,19,9,20
10000,15000,0,0,0,2,3,1,1,43,12,42.2999992370605
0,0,0,0,0,2,3,1,2,60,0,0
0,0,0,0,0,1,1,1,2,71,0,0
35200,0,0,0,0,2,3,0,3,40,12,40
31000,45000,0,0,0,1,2,0,4,25,12,40
0,0,0,0,0,1,3,0,1,75,0,0
30000,0,0,0,0,1,1,1,3,23,12,42
27500,0,0,0,0,1,2,0,2,49,12,35
16000,16000,0,0,0,1,4,1,3,36,8,60
5000,7500,0,0,0,2,3,1,3,28,12,48
6720,0,0,0,0,1,3,1,1,19,11,45
0,0,0,0,0,1,1,0,4,42,0,0
0,0,0,0,0,2,3,0,1,18,0,0
25000,37000,0,0,0,2,3,0,1,49,12,40
0,0,1,1,0,2,3,0,1,65,0,0
0,0,0,0,0,1,1,1,2,75,0,0
28000,0,0,0,0,2,3,0,1,36,12,35
0,0,0,0,0,1,1,0,2,69,0,0
0,0,1,0,0,2,3,0,1,56,0,0
25000,0,0,0,0,2,2,1,2,23,12,35
-5,-5,0,0,0,2,3,1,2,26,10,40
20000,20000,0,0,0,2,2,0,2,44,12,35
0,0,0,0,0,2,2,0,1,72,0,0
140000,550000,0,0,0,2,1,0,4,51,12,65
60000,-5,0,0,0,2,1,0,4,27,12,50
100000,0,0,0,0,1,1,0,3,35,8,55
0,-5,0,0,0,2,3,1,1,41.3242301940918,12,42.2999992370605
-5,-5,0,0,0,2,NA,0,4,41.3242301940918,12,40
9600,0,0,0,0,2,2,0,1,27,12,40
60000,0,0,0,0,1,1,0,4,57,12,50
22000,0,0,0,0,2,1,0,4,24,9,35
0,0,0,0,0,1,4,1,4,74,0,0
38000,0,0,0,0,1,2,0,2,33,12,40
14000,-5,0,0,0,2,1,1,3,38,7,40
-5,0,0,0,0,1,2,1,NA,40,12,40
75000,0,0,0,0,1,2,0,3,33,12,40
38000,0,0,0,0,2,1,1,2,40,12,36
4000,0,0,0,0,2,4,0,3,21,5,20
55000,32000,0,0,0,1,2,0,2,48,12,50
9000,0,0,0,0,2,3,0,3,20,12,10
0,28800,0,0,0,2,1,1,2,31,12,40
30000,0,0,0,0,1,4,0,4,22,9,40
-5,0,0,0,0,2,1,0,2,50,7,40
0,0,0,0,0,2,1,0,2,86,0,0
15600,0,0,0,0,2,3,1,2,33,12,47
36000,0,0,0,0,1,2,1,4,50,12,37
0,0,0,0,0,2,3,0,1,55,0,0
-5,0,0,0,0,2,2,0,3,44,12,40
0,0,0,0,0,2,3,1,2,23,0,0
-9,0,0,0,0,2,2,0,2,20,0,0
24000,0,0,0,0,1,1,0,4,26,12,30
0,10000,0,0,0,1,3,1,1,47,7,35
46000,0,0,0,0,2,2,1,4,49,12,37
27000,100000,0,0,0,1,4,1,4,45,12,40
0,0,0,0,0,2,1,0,2,78,0,0
22500,0,0,0,0,1,3,1,2,19,12,45
45000,51000,0,0,0,1,4,1,2,50,12,60
0,0,0,0,0,2,2,0,2,69,0,0
13000,23000,0,0,0,2,3,1,3,43,12,35
7200,0,0,0,0,1,3,1,1,38,12,40
50000,0,0,0,0,1,3,0,4,27,12,43
18500,25000,0,0,1,2,2,0,3,24,12,30
27500,-5,0,0,1,2,2,1,3,55,6,42.2999992370605
18000,2000,0,0,0,1,4,1,4,44,12,50
0,0,0,0,0,2,1,1,1,80,0,0
160000,-5,0,0,0,2,2,0,2,30,10,35
16000,32000,0,0,0,1,1,0,4,27,12,40
13200,300,0,0,0,1,2,1,2,25,11,40
140000,100000,0,0,0,2,1,0,4,49,12,55
0,0,0,0,0,2,2,0,1,75,0,0
5000,0,0,1,0,1,2,0,2,47,3,6
50000,60000,0,0,0,1,1,0,2,47,12,35
3000,0,0,0,0,2,2,0,2,24,12,40
0,0,0,0,0,1,1,0,1,80,0,0
0,0,0,0,0,2,3,0,1,69,0,0
-5,0,0,0,0,2,1,0,4,37,12,40
100000,0,0,0,0,1,1,0,3,54,12,50
65000,0,0,0,0,1,3,0,2,23,12,40
-5,0,0,0,0,2,NA,0,2,50,12,45
114000,191000,0,0,0,2,1,1,2,37,11,60
28000,30000,0,0,0,2,1,1,4,30,12,40
110000,0,0,0,0,2,2,0,4,62,12,40
40000,77000,0,0,0,1,1,0,3,43,12,47
0,0,0,0,0,2,3,1,1,26,0,0
0,0,0,0,0,1,2,0,1,81,0,0
0,0,0,0,0,2,1,1,2,80,0,0
35000,0,0,0,0,2,2,0,2,40,10,35
60000,80000,0,0,0,1,2,1,4,46,12,60
0,0,0,0,0,2,1,0,1,32,0,0
43000,0,0,0,0,2,3,0,4,39,12,50
5000,7500,0,0,0,2,1,1,2,30,12,50
40000,0,0,0,0,2,3,0,4,30,12,40
0,0,0,0,0,2,1,0,3,49,0,0
40000,0,0,0,0,1,2,1,2,40,10,40
30000,0,0,0,0,1,2,0,2,34,12,37
35000,0,0,0,0,1,NA,NA,2,33,12,45
10000,0,0,0,0,2,1,1,4,51,5,40
0,0,1,0,0,2,3,0,1,41,0,0
2000,0,0,0,0,1,1,0,4,85,11,6
450000,45000,0,0,0,2,2,0,4,52,12,35
55000,0,0,0,0,2,2,1,4,56,12,38
16200,0,0,0,0,1,2,1,3,21,9,45
-5,-5,0,0,0,1,1,0,4,54,12,40
0,0,0,0,0,2,1,1,3,84,0,0
65000,0,0,0,0,1,1,0,2,35,12,40
1850,0,0,0,0,2,3,0,3,55,2,50
-5,0,0,0,0,2,2,1,NA,41.3242301940918,11,42.2999992370605
70000,0,0,0,0,1,1,0,3,39,12,60
50000,0,0,0,0,2,2,0,3,47,12,4
240000,0,0,0,0,1,4,1,4,28,12,50
1500000,0,0,0,0,1,1,1,4,39,12,50
0,0,0,0,0,1,3,1,4,27,0,0
-5,0,0,0,0,1,4,1,4,55,9,80
100000,40000,0,0,0,1,4,1,4,32,12,50
0,0,0,0,0,2,NA,1,4,48,0,0
5000,0,0,0,0,2,2,NA,3,25,11,60
0,0,0,0,0,1,2,0,1,97,0,0
6000,40000,0,0,0,2,4,1,3,43,11,40
6400,0,0,0,0,2,2,1,2,28,8,22
0,0,0,0,0,1,1,0,2,33,0,0
0,-5,0,0,0,2,3,1,1,34,12,42.2999992370605
0,0,0,0,0,2,3,0,1,54,0,0
22000,0,0,0,0,2,1,0,4,27,10,32
0,0,0,0,0,2,NA,NA,2,80,0,0
0,-5,0,0,0,2,1,0,2,42,12,35
30000,0,0,0,0,2,4,1,3,22,12,50
45000,0,0,0,0,2,2,1,3,31,12,35
62000,0,0,0,0,1,3,0,2,30,12,50
25000,35000,0,0,0,2,1,0,2,54,10,35
