"gender","age","earnings"
"2",73,13500
"2",69,3000
"2",78,12100
"1",23,8500
"2",32,11800
"1",74,7500
"1",24,8200
"2",82,18600
"2",21,8500
"2",61,14100
"2",29,3300
"2",58,300
"2",52,10300
"2",52,13500
"11",67,2500
"2",80,7500
"1",31,11400
"1",69,16300
"1",27,2100
"1",39,15600
"2",-45,19100
"2",29,5700
"2",35,7400
"1",63,4900
"2",45,14800
"1",80,15600
"2",76,18200
"2",20,16500
"2",84,9100
"1",73,19700
"2",24,18100
"1",24,15000
"1",21,2600
"1",32,18400
"2",-13,13900
"2",62,0
"1",77,7200
"2",62,9900
"2",21,14800
"1",82,13000
"1",52,11800
"1",50,12400
"1",28,-900
"1",63,900
"1",76,7200
"1",61,5400
"2",76,1700
"1",38,19500
"2",63,18700
"1",55,-1000
"2",18,19200
"2",48,-700
"2",20,700
"1",60,14700
"2",56,8300
"1",69,6300
"2",-13,12800
"2",74,8100
"2",60,16200
"2",36,9400
"2",77,15500
"1",29,9100
"2",78,1400
"1",45,15500
"1",22,1800
"1",30,7900
"1",38,200
"2",67,13400
"2",82,10600
"1",37,900
"2",34,13500
"1",80,16200
"1",28,2900
"2",39,4600
"2",60,11200
"2",33,3800
"2",33,7000
"2",30,15200
"2",56,5700
"2",71,5300
"2",38,7100
"1",56,5900
"2",72,13600
"2",65,11700
"2",36,18100
"1",68,10400
"1",84,200
"2",29,15000
"1",-13,15500
"1",22,19900
"2",79,1200
"2",43,3700
"2",33,19900
"1",31,18500
"2",85,11800
"2",63,9900
"2",37,9500
"2",43,500
"2",30,4400
"1",62,18600
"2",34,12600
"1",85,5900
"2",28,19700
"1",70,15200
"2",66,200
"2",37,17600
"11",19,6700
"2",37,18800
"1",28,1300
"1",50,4700
"2",52,1300
"2",25,7200
"1",62,16500
"2",71,4100
"1",58,8200
"1",66,12100
"2",77,4200
"2",37,16200
"2",72,5000
"1",32,18800
"2",75,18600
"2",72,8100
"2",49,11300
"1",85,17700
"2",45,9600
"2",67,13800
"2",19,13400
"2",46,-800
"1",39,4400
"1",69,14900
"2",32,1500
"2",32,12100
"2",-13,17000
"2",28,9900
"2",41,12000
"1",54,16600
"2",85,18800
"2",41,0
"2",68,5600
"2",53,16600
"2",62,19700
"2",50,12200
"2",66,3600
"2",53,14400
"2",65,6500
"2",41,-400
"1",75,100
"2",46,13600
"2",41,4600
"2",32,14800
"2",22,8200
"2",36,7300
"2",56,1000
"2",44,13600
"2",70,2200
"2",50,5900
"1",30,18000
"1",76,4900
"1",22,10800
"2",52,16100
"2",29,4100
"2",43,2200
"1",72,13900
"1",57,1400
"1",51,13600
"2",-45,12100
"1",19,15300
"2",81,9200
"2",81,3500
"2",52,10800
"2",51,12100
"2",29,14600
"1",81,4400
"2",25,16800
"1",46,8100
"1",21,-400
"2",79,8300
"2",81,4400
"2",72,700
"1",26,-300
"2",69,-700
"2",24,-800
"2",26,7500
"1",24,2200
"1",31,7900
"2",43,19400
"1",73,8600
"2",81,5900
"2",85,12900
"22",42,8300
"2",57,17300
"1",19,16500
"1",47,14600
"2",49,18700
"2",62,18300
"2",29,5700
"11",67,1200
"1",50,3100
"1",57,18400
"2",49,4100
"1",34,19700
"2",40,3600
"1",49,18300
"1",20,2800
"2",22,8600
"2",57,13600
"2",53,10900
"1",81,19300
"1",85,7800
"2",70,6800
"2",44,11000
"2",84,5300
"2",60,10500
"1",61,-800
